Entity,Code,Year,PercentofRenewables
Africa,,1965,5.747494697570800
Africa,,1966,6.122061729431150
Africa,,1967,6.325730800628660
Africa,,1968,7.005292892456060
Africa,,1969,7.956087589263920
Africa,,1970,9.16205883026123
Africa,,1971,8.131307601928710
Africa,,1972,8.747766494750980
Africa,,1973,8.542280197143560
Africa,,1974,9.268067359924320
Africa,,1975,9.238402366638180
Africa,,1976,9.416414260864260
Africa,,1977,9.803298950195310
Africa,,1978,9.519680976867680
Africa,,1979,9.35092830657959
Africa,,1980,8.48603630065918
Africa,,1981,7.859501838684080
Africa,,1982,7.378184795379640
Africa,,1983,6.456583023071290
Africa,,1984,6.159393310546880
Africa,,1985,6.580027103424070
Africa,,1986,6.70380973815918
Africa,,1987,6.234672546386720
Africa,,1988,6.350836277008060
Africa,,1989,6.648681163787840
Africa,,1990,6.568428039550780
Africa,,1991,6.96174430847168
Africa,,1992,6.552484035491940
Africa,,1993,6.4210205078125
Africa,,1994,6.290523529052730
Africa,,1995,6.283753395080570
Africa,,1996,6.411200523376470
Africa,,1997,6.448849201202390
Africa,,1998,6.6571831703186000
Africa,,1999,6.836302757263180
Africa,,2000,7.174940586090090
Africa,,2001,7.414130687713620
Africa,,2002,7.605161666870120
Africa,,2003,7.0411763191223100
Africa,,2004,6.93337345123291
Africa,,2005,6.998331069946290
Africa,,2006,7.123232841491700
Africa,,2007,7.009408473968510
Africa,,2008,6.716137886047360
Africa,,2009,6.775711536407470
Africa,,2010,7.101892471313480
Africa,,2011,7.22559928894043
Africa,,2012,6.989345550537110
Africa,,2013,7.195614337921140
Africa,,2014,7.509692192077640
Africa,,2015,7.464454174041750
Africa,,2016,7.307821273803710
Africa,,2017,7.739742279052730
Africa,,2018,8.169642448425290
Africa,,2019,8.559300422668460
Africa,,2020,9.624268531799320
Africa,,2021,9.555875778198240
Africa (BP),,1965,5.747495651245120
Africa (BP),,1966,6.1220622062683100
Africa (BP),,1967,6.325730800628660
Africa (BP),,1968,7.005292892456060
Africa (BP),,1969,7.956087589263920
Africa (BP),,1970,9.16205883026123
Africa (BP),,1971,8.131307601928710
Africa (BP),,1972,8.747766494750980
Africa (BP),,1973,8.542280197143560
Africa (BP),,1974,9.268067359924320
Africa (BP),,1975,9.238402366638180
Africa (BP),,1976,9.416413307189940
Africa (BP),,1977,9.803298950195310
Africa (BP),,1978,9.519680976867680
Africa (BP),,1979,9.35092830657959
Africa (BP),,1980,8.486035346984860
Africa (BP),,1981,7.859501838684080
Africa (BP),,1982,7.378184795379640
Africa (BP),,1983,6.456583023071290
Africa (BP),,1984,6.159393310546880
Africa (BP),,1985,6.580027103424070
Africa (BP),,1986,6.703810214996340
Africa (BP),,1987,6.234672546386720
Africa (BP),,1988,6.350836277008060
Africa (BP),,1989,6.648681163787840
Africa (BP),,1990,6.568428039550780
Africa (BP),,1991,6.96174430847168
Africa (BP),,1992,6.552484035491940
Africa (BP),,1993,6.4210205078125
Africa (BP),,1994,6.290523529052730
Africa (BP),,1995,6.283753395080570
Africa (BP),,1996,6.411200523376470
Africa (BP),,1997,6.448850154876710
Africa (BP),,1998,6.6571831703186000
Africa (BP),,1999,6.836302757263180
Africa (BP),,2000,7.174940586090090
Africa (BP),,2001,7.414130210876470
Africa (BP),,2002,7.619705677032470
Africa (BP),,2003,7.05647611618042
Africa (BP),,2004,6.950178146362310
Africa (BP),,2005,7.004724979400640
Africa (BP),,2006,7.12509822845459
Africa (BP),,2007,7.0290913581848100
Africa (BP),,2008,6.73045015335083
Africa (BP),,2009,6.783567428588870
Africa (BP),,2010,7.106614112854000
Africa (BP),,2011,7.236809253692630
Africa (BP),,2012,7.002328395843510
Africa (BP),,2013,7.207865238189700
Africa (BP),,2014,7.5212082862854
Africa (BP),,2015,7.478593349456790
Africa (BP),,2016,7.320139408111570
Africa (BP),,2017,7.7515692710876500
Africa (BP),,2018,8.187627792358400
Africa (BP),,2019,8.574492454528810
Africa (BP),,2020,9.644046783447270
Africa (BP),,2021,9.57497787475586
Algeria,DZA,1965,4.763067722320560
Algeria,DZA,1966,3.518747091293340
